accession	barcode	segment_name	space	segment_subtype	clade	gl_clade
A/swine/Iowa/A02750846/2022	A02750846	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750895/2022	A02750895	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750769/2022	A02750769	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750982/2022	A02750982	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750931/2022	A02750931	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751158/2022	A02751158	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751272/2022	A02751272	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751271/2022	A02751271	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751103/2022	A02751103	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750936/2022	A02750936	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750823/2022	A02750823	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/G92995/2022		HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750964/2022	A02750964	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751169/2022	A02751169	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02751196/2022	A02751196	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751536/2023	A02751536	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750783/2022	A02750783	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751521/2023	A02751521	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751598/2023	A02751598	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751005/2022	A02751005	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750780/2022	A02750780	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978540/2023	A02978540	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751430/2022	A02751430	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02861721/2023	A02861721	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751237/2022	A02751237	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861824/2023	A02861824	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750959/2022	A02750959	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861313/2023	A02861313	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861520/2023	A02861520	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861796/2023	A02861796	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978526/2023	A02978526	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861423/2023	A02861423	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861475/2023	A02861475	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861438/2023	A02861438	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861552/2023	A02861552	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861563/2023	A02861563	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861782/2023	A02861782	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861358/2023	A02861358	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861794/2023	A02861794	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861441/2023	A02861441	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861267/2023	A02861267	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861236/2023	A02861236	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861528/2023	A02861528	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861548/2023	A02861548	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750945/2022	A02750945	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02712633/2022	A02712633	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750972/2022	A02750972	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861230/2023	A02861230	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02861276/2023	A02861276	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711595/2022	A02711595	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711596/2022	A02711596	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861849/2023	A02861849	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751317/2022	A02751317	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751257/2022	A02751257	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02751167/2022	A02751167	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02861254/2023	A02861254	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02751428/2022	A02751428	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751528/2023	A02751528	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861706/2023	A02861706	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861767/2023	A02861767	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861768/2023	A02861768	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751031/2022	A02751031	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751047/2022	A02751047	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751235/2022	A02751235	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02861525/2023	A02861525	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750932/2022	A02750932	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751243/2022	A02751243	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751048/2022	A02751048	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02712624/2022	A02712624	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02861394/2023	A02861394	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02978461/2023	A02978461	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751471/2023	A02751471	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02751578/2023	A02751578	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02712164/2022	A02712164	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02978529/2023	A02978529	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636506/2022	A02636506	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636573/2022	A02636573	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636376/2022	A02636376	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Indiana/A02636393/2022	A02636393	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02978448/2023	A02978448	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751259/2022	A02751259	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861737/2023	A02861737	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861753/2023	A02861753	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02861537/2023	A02861537	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861347/2023	A02861347	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861356/2023	A02861356	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861357/2023	A02861357	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02751037/2022	A02751037	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02751385/2022	A02751385	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02751034/2022	A02751034	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636509/2022	A02636509	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636610/2022	A02636610	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750671/2022	A02750671	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750721/2022	A02750721	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750837/2022	A02750837	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02751563/2023	A02751563	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750809/2022	A02750809	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750901/2022	A02750901	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750678/2022	A02750678	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750750/2022	A02750750	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02712629/2022	A02712629	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636347/2022	A02636347	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02861707/2023	A02861707	HA		H1	delta2	1B.2.1
A/swine/Pennsylvania/A02751475/2023	A02751475	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751472/2023	A02751472	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02861371/2023	A02861371	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750888/2022	A02750888	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02712623/2022	A02712623	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02751161/2022	A02751161	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02861752/2023	A02861752	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751393/2022	A02751393	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02861431/2023	A02861431	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750917/2022	A02750917	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861576/2023	A02861576	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861641/2023	A02861641	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861566/2023	A02861566	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861265/2023	A02861265	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861439/2023	A02861439	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861363/2023	A02861363	HA		H1	delta2	1B.2.1
A/swine/Michigan/A02780683/2023	A02780683	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02711808/2022	A02711808	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636386/2022	A02636386	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750919/2022	A02750919	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02636465/2022	A02636465	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750674/2022	A02750674	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750865/2022	A02750865	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02861779/2023	A02861779	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750796/2022	A02750796	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02711827/2022	A02711827	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636339/2022	A02636339	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751273/2022	A02751273	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751194/2022	A02751194	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751416/2022	A02751416	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751019/2022	A02751019	HA		H1	delta2	1B.2.1
A/swine/Indiana/A01812322_HA/2022		HA		H1	delta2	1B.2.1
A/swine/Indiana/A02751461/2023	A02751461	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750702/2022	A02750702	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861556/2023	A02861556	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861668/2023	A02861668	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861809/2023	A02861809	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861385/2023	A02861385	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751148/2022	A02751148	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751059/2022	A02751059	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02636355/2022	A02636355	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750725/2022	A02750725	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751307/2022	A02751307	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750855/2022	A02750855	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02751216/2022	A02751216	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750664/2022	A02750664	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750821/2022	A02750821	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636371/2022	A02636371	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751044/2022	A02751044	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751418/2022	A02751418	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750746/2022	A02750746	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751599/2023	A02751599	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861775/2023	A02861775	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02861372/2023	A02861372	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02861635/2023	A02861635	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861601/2023	A02861601	HA		H1	delta2	1B.2.1
A/swine/Minnesota/A02978539/2023	A02978539	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861440/2023	A02861440	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02861386/2023	A02861386	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861479/2023	A02861479	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02861476/2023	A02861476	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861510/2023	A02861510	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750683/2022	A02750683	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02751432/2022	A02751432	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02751365/2023	A02751365	HA		H1	delta2	1B.2.1
A/swine/Illinois/A02751334/2022	A02751334	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02861719/2023	A02861719	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750815/2022	A02750815	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750996/2022	A02750996	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3806/2022	22TOSU3806	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3807/2022	22TOSU3807	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3814/2022	22TOSU3814	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3856/2022	22TOSU3856	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3859/2022	22TOSU3859	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3861/2022	22TOSU3861	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3862/2022	22TOSU3862	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3863/2022	22TOSU3863	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3866/2022	22TOSU3866	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3868/2022	22TOSU3868	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3875/2022	22TOSU3875	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3858/2022	22TOSU3858	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3810/2022	22TOSU3810	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3722/2022	22TOSU3722	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1428/2022	22TOSU1428	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1438/2022	22TOSU1438	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1479/2022	22TOSU1479	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1481/2022	22TOSU1481	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1488/2022	22TOSU1488	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1489/2022	22TOSU1489	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1491/2022	22TOSU1491	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1499/2022	22TOSU1499	HA		H1	delta2	1B.2.1
A/swine/Illinois/22TOSU2034/2022	22TOSU2034	HA		H1	delta2	1B.2.1
A/swine/Illinois/22TOSU2110/2022	22TOSU2110	HA		H1	delta2	1B.2.1
A/swine/Indiana/22TOSU2805/2022	22TOSU2805	HA		H1	delta2	1B.2.1
A/swine/Kentucky/22TOSU2361/2022	22TOSU2361	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3703/2022	22TOSU3703	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3708/2022	22TOSU3708	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3718/2022	22TOSU3718	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3719/2022	22TOSU3719	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3723/2022	22TOSU3723	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3724/2022	22TOSU3724	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3802/2022	22TOSU3802	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3803/2022	22TOSU3803	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3804/2022	22TOSU3804	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3805/2022	22TOSU3805	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3808/2022	22TOSU3808	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3809/2022	22TOSU3809	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3811/2022	22TOSU3811	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3812/2022	22TOSU3812	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3816/2022	22TOSU3816	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3817/2022	22TOSU3817	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3823/2022	22TOSU3823	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3545/2022	22TOSU3545	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3713/2022	22TOSU3713	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3819/2022	22TOSU3819	HA		H1	delta2	1B.2.1
A/swine/Ohio/22TOSU3820/2022	22TOSU3820	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1480/2022	22TOSU1480	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1669/2022	22TOSU1669	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750681/2022	A02750681	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750723/2022	A02750723	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1483/2022	22TOSU1483	HA		H1	delta2	1B.2.1
A/swine/Wisconsin/A02861354/2023	A02861354	HA		H1	delta2	1B.2.1
A/swine/Indiana/22TOSU0507/2022	22TOSU0507	HA		H1	delta2	1B.2.1
A/swine/Indiana/22TOSU0516/2022	22TOSU0516	HA		H1	delta2	1B.2.1
A/swine/Indiana/22TOSU0521/2022	22TOSU0521	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1408/2022	22TOSU1408	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1426/2022	22TOSU1426	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1432/2022	22TOSU1432	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1435/2022	22TOSU1435	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1493/2022	22TOSU1493	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1681/2022	22TOSU1681	HA		H1	delta2	1B.2.1
A/swine/Kentucky/22TOSU2360/2022	22TOSU2360	HA		H1	delta2	1B.2.1
A/swine/Iowa/22TOSU1490/2022	22TOSU1490	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02751058/2022	A02751058	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636540/2022	A02636540	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636510/2022	A02636510	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636680/2022	A02636680	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750878/2022	A02750878	HA		H1	delta2	1B.2.1
A/swine/Indiana/22TOSU0518/2022	22TOSU0518	HA		H1	delta2	1B.2.1
