accession	barcode	segment_name	space	segment_subtype	clade	gl_clade
A/swine/Iowa/A02750650/2022	A02750650	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636679/2022	A02636679	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636595/2022	A02636595	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636613/2022	A02636613	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636629/2022	A02636629	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750698/2022	A02750698	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02246905/2021	A02246905	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525112/2021	A02525112	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525090/2021	A02525090	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02245880/2021	A02245880	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636297/2021	A02636297	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02246972/2021	A02246972	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711801/2022	A02711801	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635723/2021	A02635723	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636015/2021	A02636015	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525291/2021	A02525291	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636136/2021	A02636136	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02636450/2022	A02636450	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525389/2021	A02525389	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525134/2021	A02525134	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525219/2021	A02525219	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525174/2021	A02525174	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525186/2021	A02525186	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635891/2021	A02635891	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02636467/2022	A02636467	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02636636/2022	A02636636	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/South_Dakota/A01678669/2022	A01678669	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Kansas/A02636331/2022	A02636331	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02636471/2022	A02636471	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02636077/2021	A02636077	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/North_Dakota/A02636156/2021	A02636156	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635754/2021	A02635754	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635720/2021	A02635720	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02525312/2021	A02525312	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635911/2021	A02635911	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02636038/2021	A02636038	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02635976/2021	A02635976	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02636117/2021	A02636117	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635827/2021	A02635827	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635830/2021	A02635830	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02525256/2021	A02525256	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02525367/2021	A02525367	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635955/2021	A02635955	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635965/2021	A02635965	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636178/2021	A02636178	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636385/2022	A02636385	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636434/2022	A02636434	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636360/2022	A02636360	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636508/2022	A02636508	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750685/2022	A02750685	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711816/2022	A02711816	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/South_Dakota/A02750735/2022	A02750735	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711870/2022	A02711870	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02711873/2022	A02711873	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02750657/2022	A02750657	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636600/2022	A02636600	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636390/2022	A02636390	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636684/2022	A02636684	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635915/2021	A02635915	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02635908/2021	A02635908	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02248192/2021	A02248192	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635844/2021	A02635844	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02636140/2021	A02636140	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Nebraska/A02635872/2021	A02635872	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525313/2021	A02525313	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Missouri/A02525065/2021	A02525065	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02635729/2021	A02635729	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02525245/2021	A02525245	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Illinois/A02525229/2021	A02525229	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02525265/2021	A02525265	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Minnesota/A02525073/2021	A02525073	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02246996/2021	A02246996	HA		H1	gamma-c3	1A.3.3.3-c3
A/swine/Iowa/A02635752/2021	A02635752	HA		H1	alpha	1A.1.1
A/swine/Nebraska/A02525119/2021	A02525119	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02635850/2021	A02635850	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02636499/2022	A02636499	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02636486/2022	A02636486	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02525118/2021	A02525118	HA		H1	alpha-del	1A.1.1.3
A/swine/Minnesota/A02246994/2021	A02246994	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02635813/2021	A02635813	HA		H1	alpha-del	1A.1.1.3
A/swine/South_Dakota/G70804/2022		HA		H1	alpha-del	1A.1.1.3
A/swine/South_Dakota/G76266/2022		HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02635989/2021	A02635989	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02635970/2021	A02635970	HA		H1	alpha-del	1A.1.1.3
A/swine/Nebraska/A02636474/2022	A02636474	HA		H1	alpha-del	1A.1.1.3
A/swine/Nebraska/A02750679/2022	A02750679	HA		H1	alpha-del	1A.1.1.3
A/swine/Nebraska/A02636672/2021	A02636672	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02636473/2022	A02636473	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02636484/2022	A02636484	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02525239/2021	A02525239	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02525185/2021	A02525185	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02750894/2022	A02750894	HA		H1	alpha-del	1A.1.1.3
A/swine/Minnesota/A02750814/2022	A02750814	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02636016/2021	A02636016	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02750819/2022	A02750819	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750629/2022	A02750629	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750792/2022	A02750792	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750820/2022	A02750820	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02525288/2021	A02525288	HA		H1	alpha-del	1A.1.1.3
A/swine/Ohio/A02636170/2021	A02636170	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750864/2022	A02750864	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750765/2022	A02750765	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750893/2022	A02750893	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750646/2022	A02750646	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750770/2022	A02750770	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750860/2022	A02750860	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02636444/2022	A02636444	HA		H1	alpha-del	1A.1.1.3
A/swine/Ohio/A02525358/2021	A02525358	HA		H1	alpha-del	1A.1.1.3
A/swine/Tennessee/A02524414/2022	A02524414	HA		H1	alpha-del	1A.1.1.3
A/swine/Ohio/A02750839/2022	A02750839	HA		H1	alpha-del	1A.1.1.3
A/swine/Michigan/A02246914/2022	A02246914	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A01812319/2021	A01812319	HA		H1	alpha-del	1A.1.1.3
A/swine/Michigan/A02636389/2022	A02636389	HA		H1	alpha-del	1A.1.1.3
A/swine/Pennsylvania/A02636530/2022	A02636530	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02636536/2021	A02636536	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02636345/2021	A02636345	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02711869/2022	A02711869	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636344/2021	A02636344	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636562/2022	A02636562	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750642/2022	A02750642	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636599/2022	A02636599	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636609/2022	A02636609	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02636494/2022	A02636494	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750631/2022	A02750631	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636122/2021	A02636122	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636580/2021	A02636580	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750867/2022	A02750867	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02246984/2021	A02246984	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02710698/2022	A02710698	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02246916/2022	A02246916	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636421/2022	A02636421	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636453/2022	A02636453	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636539/2021	A02636539	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750701/2022	A02750701	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750760/2022	A02750760	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750651/2022	A02750651	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02750630/2022	A02750630	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750689/2022	A02750689	HA		H1	alpha-del	1A.1.1.3
A/swine/Virginia/A02636522/2022	A02636522	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750921/2022	A02750921	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02711814/2022	A02711814	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02711867/2022	A02711867	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750703/2022	A02750703	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750727/2022	A02750727	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750742/2022	A02750742	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750852/2022	A02750852	HA		H1	alpha-del	1A.1.1.3
A/swine/Missouri/A02750853/2022	A02750853	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750849/2022	A02750849	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02712153/2022	A02712153	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750715/2022	A02750715	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02750627/2022	A02750627	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636563/2022	A02636563	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636594/2022	A02636594	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636581/2021	A02636581	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02711697/2022	A02711697	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02248194/2021	A02248194	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02525308/2021	A02525308	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02524411/2022	A02524411	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636515/2022	A02636515	HA		H1	alpha-del	1A.1.1.3
A/swine/Illinois/A02636537/2022	A02636537	HA		H1	alpha-del	1A.1.1.3
A/swine/Texas/A02246450/2021	A02246450	HA		H1	alpha-del	1A.1.1.3
A/swine/Texas/A02246455/2021	A02246455	HA		H1	alpha-del	1A.1.1.3
A/swine/Texas/A02711855/2022	A02711855	HA		H1	alpha-del	1A.1.1.3
A/swine/Texas/A02712151/2022	A02712151	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02711847/2022	A02711847	HA		H1	alpha-del	1A.1.1.3
A/swine/Oklahoma/A02246913/2022	A02246913	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750706/2022	A02750706	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02711699/2022	A02711699	HA		H1	alpha-del	1A.1.1.3
A/swine/Texas/A02248033/2021	A02248033	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02636615/2022	A02636615	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02525384/2021	A02525384	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02246904/2021	A02246904	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02246977/2021	A02246977	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02636321/2021	A02636321	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02711701/2022	A02711701	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02246997/2021	A02246997	HA		H1	alpha-del	1A.1.1.3
A/swine/Kansas/A02711875/2022	A02711875	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02635990/2021	A02635990	HA		H1	alpha-del	1A.1.1.3
A/swine/Montana/A02636379/2022	A02636379	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02525341/2021	A02525341	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02525369/2021	A02525369	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02635751/2021	A02635751	HA		H1	alpha-del	1A.1.1.3
A/swine/North_Carolina/A02636055/2021	A02636055	HA		H1	alpha-del	1A.1.1.3
A/swine/Utah/A02525294/2021	A02525294	HA		H1	alpha-del	1A.1.1.3
A/swine/Utah/A02635712/2021	A02635712	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/C61729/2022		HA		H1	alpha-del	1A.1.1.3
A/swine/Utah/A02525196/2021	A02525196	HA		H1	alpha-del	1A.1.1.3
A/swine/Minnesota/A02711815/2022	A02711815	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02711705/2022	A02711705	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02636304/2021	A02636304	HA		H1	alpha-del	1A.1.1.3
A/swine/Michigan/A02636394/2022	A02636394	HA		H1	alpha-del	1A.1.1.3
A/swine/Minnesota/A02636116/2021	A02636116	HA		H1	alpha-del	1A.1.1.3
A/swine/Iowa/A02750708/2022	A02750708	HA		H1	alpha-del	1A.1.1.3
A/swine/Indiana/A02635956/2021	A02635956	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02525113/2021	A02525113	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02245885/2021	A02245885	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525213/2021	A02525213	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636123/2021	A02636123	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636339/2022	A02636339	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02750796/2022	A02750796	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02711827/2022	A02711827	HA		H1	delta2	1B.2.1
A/swine/Ohio/A02636465/2022	A02636465	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750674/2022	A02750674	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750865/2022	A02750865	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636175/2021	A02636175	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02635735/2021	A02635735	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525248/2021	A02525248	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525282/2021	A02525282	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02635865/2021	A02635865	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02248050/2021	A02248050	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02750917/2022	A02750917	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02711808/2022	A02711808	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636386/2022	A02636386	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750919/2022	A02750919	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525120/2021	A02525120	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02635753/2021	A02635753	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750888/2022	A02750888	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636056/2021	A02636056	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636346/2021	A02636346	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750671/2022	A02750671	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750721/2022	A02750721	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02750837/2022	A02750837	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750901/2022	A02750901	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750809/2022	A02750809	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636509/2022	A02636509	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636610/2022	A02636610	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750678/2022	A02750678	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02750750/2022	A02750750	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636316/2021	A02636316	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636031/2021	A02636031	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636073/2021	A02636073	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02635880/2021	A02635880	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02245874/2021	A02245874	HA		H1	delta2	1B.2.1
A/swine/South_Carolina/A02525283/2021	A02525283	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525225/2021	A02525225	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02635975/2021	A02635975	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02635866/2021	A02635866	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02635905/2021	A02635905	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02636347/2022	A02636347	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636294/2021	A02636294	HA		H1	delta2	1B.2.1
A/swine/North_Carolina/A02525286/2021	A02525286	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02635722/2021	A02635722	HA		H1	delta2	1B.2.1
A/swine/Michigan/A02635726/2021	A02635726	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636025/2021	A02636025	HA		H1	delta2	1B.2.1
A/swine/Missouri/A02636006/2021	A02636006	HA		H1	delta2	1B.2.1
A/swine/Illinois/21TOSU2123/2021	21TOSU2123	HA		H1	delta2	1B.2.1
A/swine/Ohio/21TOSU1829/2021	21TOSU1829	HA		H1	delta2	1B.2.1
A/swine/Ohio/21TOSU1834/2021	21TOSU1834	HA		H1	delta2	1B.2.1
A/swine/Ohio/21TOSU1840/2021	21TOSU1840	HA		H1	delta2	1B.2.1
A/swine/Ohio/21TOSU1850/2021	21TOSU1850	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU2752/2021	21TOSU2752	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU2760/2021	21TOSU2760	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU2768/2021	21TOSU2768	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3609/2021	21TOSU3609	HA		H1	delta2	1B.2.1
A/swine/Iowa/A02636115/2021	A02636115	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3132/2021	21TOSU3132	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3133/2021	21TOSU3133	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3135/2021	21TOSU3135	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3495/2021	21TOSU3495	HA		H1	delta2	1B.2.1
A/swine/Indiana/A02636050/2021	A02636050	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3102/2021	21TOSU3102	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3108/2021	21TOSU3108	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3109/2021	21TOSU3109	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3113/2021	21TOSU3113	HA		H1	delta2	1B.2.1
A/swine/Indiana/21TOSU3114/2021	21TOSU3114	HA		H1	delta2	1B.2.1
